authorid,metric
1678190,0.14158394473041525
1678203,0.0
1678212,0.0748634914514138
1678221,0.0
1678226,0.0
1678228,0.0
1678247,0.16965165734799714
1678249,0.0
1678281,0.0
1678298,0.0
1678305,0.16387806048322617
1678308,0.0992965720819804
1678311,0.0
1678312,0.0
1678316,0.0
1678319,0.0
1678326,0.15240785899871054
1678339,0.14351641439196947
1678348,0.0
1678349,0.09263645092836192
1678359,0.0
1678366,0.24168724040001188
1678373,0.20065959536666356
1678380,0.0
1678382,0.0
1678388,0.0
1678393,0.14196811072922166
1678402,0.0
1678412,0.0
1678413,0.12612767831138313
1678424,0.0
1678435,0.0
1678436,0.08464158092564189
1678440,0.0
1678451,0.0
1678470,0.10733242456482239
1678477,0.12053007348244793
1678479,0.12059897483230997
1678485,0.16529387849070337
1678486,0.0
1678491,0.0
1678493,0.13297802782361157
1678498,0.053180823222597096
1678509,0.14904583602947818
1678514,0.06587407470387063
1678522,0.0
1678528,0.0
1678535,0.06969122284629836
1678537,0.15272947983931928
1678545,0.0
1678550,0.0
1678555,0.0
1678561,0.0
1678564,0.1271399019675828
1678585,0.22334383884893783
1678587,0.0
1678591,0.12919765566573405
1678599,0.0
1678601,0.1268146385308545
1678602,0.1475592720414685
1678603,0.0
1678609,0.0
1678618,0.0
1678619,0.0
1678622,0.0
1678624,0.0
1678630,0.0
1678633,0.18348909168592933
1678640,0.08834806503864878
1678641,0.11889354887921173
1678643,0.0
1678655,0.0
1678661,0.0
1678662,0.0
1678667,0.0
1678670,0.0
1678673,0.0
1678678,0.0
1678680,0.0
1678681,0.1282392914496968
1678684,0.11969246272122083
1678689,0.11281536195765451
1678699,0.0
1678707,0.0
1678713,0.0
1678724,0.10416742051577776
1678733,0.08612193015605984
1678766,0.11542602983066375
1678773,0.0
1678776,0.15267636912906568
1678777,0.11161804679809373
1678780,0.0
1678787,0.0
1678794,0.0
1678795,0.0
1678799,0.0
1678811,0.09764752578480851
1678828,0.14172626580403602
1678829,0.0
1678834,0.0
1678835,0.16131017001314124
1678841,0.0
1678848,0.0
1678849,0.0
1678851,0.0
1678854,0.0
1678860,0.0
1678870,0.0
1678873,0.1255698107734181
1678876,0.12595428576563095
1678884,0.0
1678886,0.0
1678887,0.0
1678892,0.1267344106425142
1678894,0.0
1678901,0.13106244568095424
1678903,0.0
1678909,0.1398435526116312
1678910,0.09700792432899141
1678917,0.13649412416007223
1678926,0.0
1678927,0.0
1678944,0.05818724314287127
1678945,0.0
1678951,0.0
1678955,0.0
1678956,0.08962346897927176
1678966,0.0
1678972,0.16153154538028813
1678982,0.14741716357207216
1678993,0.0
1679009,0.18756720716816855
1679011,0.1691780793424258
1679018,0.0
1679024,0.06871006495936371
1679036,0.0
1679040,0.12384627669930388
1679043,0.0
1679045,0.0
1679048,0.0
1679054,0.12180728284204834
1679058,0.1411073618844384
1679074,0.0
1679076,0.0
1679091,0.20043314813863633
1679110,0.13464416665260737
1679115,0.1385284639166262
1679118,0.0
1679133,0.10243526228859537
1679135,0.0
1679146,0.0
1679156,0.0
1679160,0.0
1679161,0.0
1679167,0.0
1679171,0.0
1679177,0.1279248064237871
1679180,0.0
1679181,0.10799998684379664
1679182,0.0
1679187,0.15352098386847185
1679190,0.11570347761617217
1679194,0.0
1679209,0.2050797630155432
1679214,0.10278364587670552
1679215,0.0
1679218,0.0
1679223,0.10432942561700234
1679226,0.0
