corpusid,metric
14143534,0.053851917244106165
36022237,0.04074390819704988
37980559,0.023725632227542426
231775923,0.0
59790814,0.0
62172125,0.020216640119378626
22019112,0.0
237521669,0.017757123970571442
33464584,0.0
7691552,0.01554254812767003
6854973,0.02049190965172526
13569293,0.0
29005,0.0
2425140,0.0
199556348,0.0
31180380,0.0
18323811,0.018199235284753368
11749251,0.0
245729917,0.0
229704202,0.0
169040823,0.0
17604448,0.040293697119794546
221516697,0.0
9100788,0.0
11945853,0.0
5668310,0.0
14506138,0.030111247204204068
245054344,0.029976328730960622
29995295,0.04022029876576923
14976189,0.025928765670574727
215919863,0.0
59682953,0.0
52049488,0.0
30471640,0.046503655316495994
18569086,0.04380952594959773
59652379,0.031104739917631297
14580305,0.0345373302689313
207931330,0.0
156741465,0.0
16479912,0.008637216861251074
59826744,0.0
55997084,0.0
35465511,0.0
216021570,0.0
27479229,0.0
18655856,0.03461777387821604
135717678,0.0
2708149,0.0
13107224,0.036010991825347984
128776465,0.0
26166308,0.0
43699170,0.0
7741493,0.029430016371211343
14022537,0.033309831699762205
6274024,0.0
21761139,0.05538884421653559
62190766,0.0
20264332,0.017620143478838668
7814353,0.0
260446543,0.0
9865629,0.0
2064650,0.04583175925522256
52869656,0.08031258811785653
13120324,0.038634186957977705
6885014,0.04348390083920167
248299726,0.0
11794723,0.0
16780883,0.029498188401656633
30258255,0.05487066521708843
1667474,0.04780680300594331
26555124,0.024802933467469146
20665840,0.0
12250605,0.0
14398125,0.026423304218444577
60741911,0.0
6320708,0.018008017758768313
7495423,0.03329051020811652
34736076,0.0
3487909,0.0
10644106,0.03966750867660348
60870268,0.0
5533418,0.045951559297661426
251954122,0.02302594302454114
211818106,0.0
61813752,0.0
8608577,0.033960622673438634
62435862,0.04914989120293614
17061906,0.033963681447287584
18224724,0.0
60492605,0.0
37846209,0.043772086366240213
60624499,0.0
59811545,0.0
13097816,0.0
37319643,0.0
14925319,0.0468168786101946
230513652,0.0
10599667,0.0
56053203,0.0
7894692,0.022087189984798583
209096083,0.0
232335492,0.00016672485531965542
1791743,0.0
15754630,0.03879572058529297
5308484,0.0
62635757,0.0
19150681,0.0
24922103,0.0
198328813,0.0
64265223,0.0
21853551,0.03546549384634472
2649154,0.054459078157685026
16325617,0.07428893885703544
48359609,0.0
265658792,0.027793649524391728
20936752,0.0
60844059,0.0
9017781,0.03155825399754046
6408642,0.0
26140924,0.0
18068717,0.0
6976503,0.04388785000222097
39169479,0.027229117372892353
11292053,0.056625370869195835
19250813,0.05828667237393126
7823553,0.0
236653790,0.0
18191798,0.0
32802114,0.0
18724012,0.0
15900428,0.0
7894192,0.0
21822855,0.013844205629544859
57154793,0.0
62662651,0.03270701416942551
26999996,0.05001954943178435
3399728,0.0
18717962,0.0
18682428,0.04075645130808423
18328920,0.0
8395025,0.05144663320893291
9065272,0.0
35438540,0.0
7689060,0.0
9394000,0.0
14929636,0.0
8794035,0.04598255883332623
9076139,0.05764578208742634
38284796,0.03696956297767373
15999399,0.0
16248559,0.02296002727638624
60733265,0.0
2974247,0.021206224333283452
209076668,0.009324287656344576
226267669,0.0
16057691,0.06298966057452413
30930294,0.0
34689663,0.0
15576502,0.0
168026917,0.036148019051705116
17859685,0.0563204630890462
46481474,0.03944789551425448
28286803,0.018937691723650008
233987362,0.0
14510687,0.0
16811400,0.0
15580983,0.05144108253351894
16150907,0.0
20472483,0.030145368430406414
40165030,0.04436861375310821
97034825,0.0
11407792,0.0
8796801,0.0
15482947,0.0
226283541,0.0
64633198,0.0
10810182,0.0
16052999,0.01832791704176223
31646897,0.0
246822989,0.046798938390777145
44860169,0.0
226743532,0.0
237558772,0.0
6785248,0.06652264849025638
5882237,0.05487651145540007
226254435,0.0
14182105,0.0
44076583,0.0
7427526,0.015313134740437273
228859778,0.0
1603796,0.04918131881570346
5983551,0.029631473716284995
218515250,0.03534152944500372
116921595,0.0
752152,0.05693733397863064
3398927,0.03619677852067571
244226807,0.023537625132977136
5228937,0.0013393600285381835
52979229,0.04973077450405697
4821123,0.0
53109304,0.048141088022489995
58763784,0.0
14278676,0.0
6267063,0.015606355676812844
15158914,0.04031802102740427
